id,text,subject,createdAt,updatedAt,PostId,CommenterId
1,"How can we categorize those who support conspiracy theories, and who claim that this virus was introduced specifically to decimate the population?",0,2024-06-10 13:24:11.386000+00:00,2024-06-10 13:24:11.404000+00:00,807,301
28,"Scientists has already justified the use of GMOs, nothing to worry about.",4,2024-06-10 15:00:54.433000+00:00,2024-06-10 15:00:54.440000+00:00,1269,193
2,i agree with you,0,2024-06-10 13:26:48.506000+00:00,2024-06-10 13:26:48.526000+00:00,1238,299
19,Medicare is very positive ,2,2024-06-10 13:59:28.622000+00:00,2024-06-10 13:59:28.636000+00:00,1265,325
3,"I agree with you, but do we have a guarantee that GMO is safe?",4,2024-06-10 13:26:50.938000+00:00,2024-06-10 13:26:50.948000+00:00,678,301
4,"What are the main advantages of wearing a mask during the pandemic, and if anyone thinks that in addition to the advantages there are also disadvantages?",0,2024-06-10 13:30:58.325000+00:00,2024-06-10 13:30:58.350000+00:00,781,301
5,"My opinion is that the advantages of wearing a mask are multiple and huge, while the disadvantages are completely missing!",0,2024-06-10 13:33:18.266000+00:00,2024-06-10 13:33:18.279000+00:00,781,301
20,axing wealth — including unrealized gains — is the worst way to tax,3,2024-06-10 14:03:09.323000+00:00,2024-06-10 14:03:09.337000+00:00,1246,292
6,Has this negative influence been demonstrated experimentally?,4,2024-06-10 13:34:36.225000+00:00,2024-06-10 13:34:36.245000+00:00,451,301
7,Was Trump wrong when he said that Covid-19 is actually the Chinese virus? I ask you to express your opinion here.,0,2024-06-10 13:36:46.343000+00:00,2024-06-10 13:36:46.360000+00:00,716,301
8,"I honestly believe that GMOs are a revolution in human nutrition, just as pesticides were a revolution in agriculture! That is, just as without pesticides we can no longer do agriculture, in the same way without GMOs we will no longer be able to feed an exponentially growing population.",4,2024-06-10 13:41:28.978000+00:00,2024-06-10 13:41:28.994000+00:00,511,301
21,Who can determine what is the limit from which wealth is unacceptable?,3,2024-06-10 14:09:25.348000+00:00,2024-06-10 14:09:25.354000+00:00,1131,301
9,it is very challenge to trump,0,2024-06-10 13:41:53.910000+00:00,2024-06-10 13:41:53.936000+00:00,1125,229
10,Yes Let's we all support this positive change! 💪,2,2024-06-10 13:44:30.343000+00:00,2024-06-10 13:44:30.353000+00:00,1226,184
29,there are greater threats than COVID. The world economy has fallen drastically. We should look into this matter now.,0,2024-06-10 15:06:41.437000+00:00,2024-06-10 15:06:41.442000+00:00,1151,5
11,its really worked !!!!!,2,2024-06-10 13:46:18.569000+00:00,2024-06-10 13:46:18.579000+00:00,792,247
22,"I quite agree with you, GMOs not only produce best nutritious food but also free of pests and other harmful insects and the use of chemicals like pesticides, inorganic fertilizers are limited.",4,2024-06-10 14:14:16.201000+00:00,2024-06-10 14:14:16.207000+00:00,1113,193
12,"Medicare should decreases the quality of care and takes away Americans. To avoid drugs, and abuse substances.",2,2024-06-10 13:48:08.828000+00:00,2024-06-10 13:48:08.845000+00:00,1263,101
13,same to me,0,2024-06-10 13:53:37.091000+00:00,2024-06-10 13:53:37.098000+00:00,1252,328
14,That's Agree this positive,0,2024-06-10 13:54:39.414000+00:00,2024-06-10 13:54:39.425000+00:00,1178,290
23,"This is to say let's make America great again! I think that for this we need extensive development programs and a lively and progressive thinking. It is not enough to discuss, but we must act!",0,2024-06-10 14:15:40.879000+00:00,2024-06-10 14:15:40.886000+00:00,786,301
15,yes its safety,4,2024-06-10 13:55:03.734000+00:00,2024-06-10 13:55:03.746000+00:00,1269,246
16,i agree with you.,4,2024-06-10 13:55:29.748000+00:00,2024-06-10 13:55:29.755000+00:00,1058,23
35,ofcourse. Encouraging a mindset of hard work and celebrating success focuses on individual achievement,3,2024-06-10 16:47:00.127000+00:00,2024-06-10 16:47:00.137000+00:00,1147,264
17,its very useful for covid -19 package .,0,2024-06-10 13:57:11.318000+00:00,2024-06-10 13:57:11.325000+00:00,1274,324
30,Still some people questioning GMO and spreading false news.,4,2024-06-10 15:09:46.087000+00:00,2024-06-10 15:09:46.096000+00:00,23,91
18,it is very useful for all human being to live a happy life,2,2024-06-10 13:57:56.220000+00:00,2024-06-10 13:57:56.233000+00:00,1239,106
24,I think the govt is doing its best but that's not going to be enough. They need to be more concerned about the situation. The rate of unemployment is increasing day by day.,0,2024-06-10 14:34:43.685000+00:00,2024-06-10 14:34:43.691000+00:00,1070,193
25,medicare is useful for all human beings in our life,0,2024-06-10 14:36:04.009000+00:00,2024-06-10 14:36:04.015000+00:00,1190,291
26,I too worried,4,2024-06-10 14:37:24.730000+00:00,2024-06-10 14:37:24.735000+00:00,106,291
31,"The only potential risk is the rumor spread by people about GMO, otherwise its pretty safe.",4,2024-06-10 15:26:51.598000+00:00,2024-06-10 15:26:51.607000+00:00,106,5
27,"Can you give a valid evidence to support your stance, if not then please don't spread negativity about GMOs. ",4,2024-06-10 14:43:27.218000+00:00,2024-06-10 14:43:27.227000+00:00,451,193
36,But isn't Medicaid just as good?,2,2024-06-10 16:47:12.209000+00:00,2024-06-10 16:47:12.216000+00:00,1308,301
32,"yes. you are correct. positive  and encouraging  message, promoting  economic growth and healthcare improvement.",2,2024-06-10 16:36:37.478000+00:00,2024-06-10 16:36:37.483000+00:00,1317,264
33,That is great news! I wonder what the anti-GMOs will say in response.,4,2024-06-10 16:40:07.465000+00:00,2024-06-10 16:40:07.483000+00:00,1213,3
40,"I don't understand your stance. Do you think they shouldn't be taxed at all, or just that they shouldn't have an additional tax for a net worth over $50 million.",3,2024-06-10 16:56:43.727000+00:00,2024-06-10 16:56:43.734000+00:00,44,3
34,I agree with your words. This focus on GMOs in  sustainable farming  reflects the  benefit of science,4,2024-06-10 16:41:43.820000+00:00,2024-06-10 16:41:43.828000+00:00,1245,264
37,"Yeah, It always amazes me how many that are against GMOs have no idea how many people would starve without them.",4,2024-06-10 16:47:18.926000+00:00,2024-06-10 16:47:18.934000+00:00,23,3
38,Agreed. Full shutdowns have their own problems that may out way the benefits.,0,2024-06-10 16:49:55.797000+00:00,2024-06-10 16:49:55.813000+00:00,1076,3
43,"What is your alternative for funding? Frankly, 2% doesn't sound like a lot.",3,2024-06-10 17:16:39.521000+00:00,2024-06-10 17:16:39.537000+00:00,568,3
39,"I think people really underestimate how important your diet is, both physically and mentally.",4,2024-06-10 16:52:41.266000+00:00,2024-06-10 16:52:41.273000+00:00,116,3
41,"Have they actually found any health effect between GMO and none GMO? If not, I don't think it is necessary to label them.",4,2024-06-10 17:01:43.425000+00:00,2024-06-10 17:01:43.430000+00:00,275,3
42,It seems that this is the solution for the survival of mankind.,4,2024-06-10 17:16:22.567000+00:00,2024-06-10 17:16:22.572000+00:00,678,301
45,"This is about a revolution in world food. Someone said that the next world crisis will be caused by hunger. With the help of GMO, I think we will overcome this obstacle!",4,2024-06-10 21:16:34.758000+00:00,2024-06-10 21:16:34.768000+00:00,511,301
44,"I'm not sure how much help increased testing will be, but I wouldn't hurt.",0,2024-06-10 17:31:49.026000+00:00,2024-06-10 17:31:49.031000+00:00,1252,3
46,"Correct, this is the golden dream of mankind: healthcare for everyone! It wouldn't be a problem, if it didn't cost a lot of money!",2,2024-06-10 21:19:34.064000+00:00,2024-06-10 21:19:34.079000+00:00,319,301
47,For this we must all mobilize and support the government's effort in the fight to eradicate the pandemic!,0,2024-06-10 21:21:30.770000+00:00,2024-06-10 21:21:30.775000+00:00,716,301
48,"What is worse, government intrusion, or the death of those infected with the merciless virus?",0,2024-06-10 21:24:24.389000+00:00,2024-06-10 21:24:24.395000+00:00,195,301
49,I also benefited from this help! It was exceptionally welcome!,0,2024-06-10 21:28:57.216000+00:00,2024-06-10 21:28:57.223000+00:00,1274,301
50,"If they have contributed then they also have taken too much, you need to understand that.",3,2024-06-11 00:22:07.241000+00:00,2024-06-11 00:22:07.248000+00:00,941,193
51,can you show us the source that says GMOs can lead to cancer. ,4,2024-06-11 00:40:27.617000+00:00,2024-06-11 00:40:27.625000+00:00,451,5
52,What type of privileges? Just because they can afford better doesn't mean they can't advocate for everyone to have access to a minimum level of healthcare.,2,2024-06-11 13:38:30.013000+00:00,2024-06-11 13:38:30.018000+00:00,284,3
78,I appreciate the initiative by the govt. but now they need to be focused more on solving unemployment issue that the country currently going through post COVID crisis.,0,2024-06-11 16:10:47.869000+00:00,2024-06-11 16:10:47.875000+00:00,1274,193
53,"Helping the low income get internet is a good thing, but I always find it annoying how they sneak funding for unrelated issues into feel good packages like this to force the funding through, feels really under handed and deceptive.",0,2024-06-11 13:44:03.535000+00:00,2024-06-11 13:44:03.540000+00:00,1274,3
67,its very useful for medicine,2,2024-06-11 14:46:08.193000+00:00,2024-06-11 14:46:08.200000+00:00,1124,101
54,"yes,sure",3,2024-06-11 13:47:55.451000+00:00,2024-06-11 13:47:55.455000+00:00,1096,229
55,Can you provide sources for this claim? I would want to know how much GMOs effect resistance before even deciding if it is worth bringing up for discussion.,4,2024-06-11 13:48:35.248000+00:00,2024-06-11 13:48:35.254000+00:00,847,3
56,"I have never heard of any of this being true, please provide sources.",4,2024-06-11 13:49:26.396000+00:00,2024-06-11 13:49:26.401000+00:00,1271,3
68,yes its medicare,2,2024-06-11 14:58:15.806000+00:00,2024-06-11 14:58:15.810000+00:00,1407,328
57,"This post enthusiastically endorses ""Medicare for All Who Want It,"" highlighting its inclusivity and flexibility in healthcare access, presenting it as a solution with genuine choices. It is very useful.",2,2024-06-11 13:54:35.457000+00:00,2024-06-11 13:54:35.462000+00:00,1361,264
58,"Like no tax at all, or just no additional tax for making over a certain amount?",3,2024-06-11 13:58:20.244000+00:00,2024-06-11 13:58:20.252000+00:00,82,3
84,"Lots of studies by scientists say that the GMO foods you can buy are okay to eat. Before these foods can be sold, government groups like the FDA and EFSA check them really carefully.",4,2024-06-11 19:46:09.647000+00:00,2024-06-11 19:46:09.653000+00:00,1269,91
59,it is same as for pneumonia it is really terrible.,0,2024-06-11 13:59:50.961000+00:00,2024-06-11 13:59:50.968000+00:00,1151,247
69,gmo food is very healthy ,4,2024-06-11 14:59:00.230000+00:00,2024-06-11 14:59:00.236000+00:00,1408,325
60,I don't think removing taxes is going to cause the rich to spend more on charity without some sort of incentive.,3,2024-06-11 14:03:16.573000+00:00,2024-06-11 14:03:16.579000+00:00,1048,3
61,"Yeah, I'm open to out of the box thinking, but no taxing the rich just seem way overly optimistic.",3,2024-06-11 14:04:17.629000+00:00,2024-06-11 14:04:17.634000+00:00,986,3
79,But why do we tolerate those detractors who deny the usefulness and safety of GMO food?,4,2024-06-11 16:19:27.995000+00:00,2024-06-11 16:19:28+00:00,1269,301
62,Why would they help others for no benefit instead of just buying another house or car?,3,2024-06-11 14:05:43.409000+00:00,2024-06-11 14:05:43.413000+00:00,621,3
70,its useful to wealthy tax,3,2024-06-11 14:59:38.198000+00:00,2024-06-11 14:59:38.203000+00:00,1327,292
63,its useful for medicare,2,2024-06-11 14:08:40.179000+00:00,2024-06-11 14:08:40.185000+00:00,1294,291
64,its very useful for everyone,2,2024-06-11 14:11:43.947000+00:00,2024-06-11 14:11:43.953000+00:00,1282,106
65,"I've always found people that are against GMOs weird and they never really have any good argument against them, just handwaving at toxins and cancer.",4,2024-06-11 14:16:50.688000+00:00,2024-06-11 14:16:50.693000+00:00,1372,3
66,Why aren't you convinced?,4,2024-06-11 14:17:45.423000+00:00,2024-06-11 14:17:45.429000+00:00,1058,3
71,medicare is essential,2,2024-06-11 15:01:32.828000+00:00,2024-06-11 15:01:32.833000+00:00,1411,299
80,"Indeed, a solution had to be found for the increasingly threatening food crisis that looms on the horizon. Scientists should therefore be congratulated!",4,2024-06-11 16:22:37.897000+00:00,2024-06-11 16:22:37.903000+00:00,1245,301
72,gmo food is safe,4,2024-06-11 15:05:58.885000+00:00,2024-06-11 15:05:58.892000+00:00,1413,246
73,its correct negatively impact,4,2024-06-11 15:09:05.943000+00:00,2024-06-11 15:09:05.948000+00:00,918,290
74,gmo foods is not affects  ,4,2024-06-11 15:09:52.354000+00:00,2024-06-11 15:09:52.360000+00:00,1415,324
81,I completely agree!!!,2,2024-06-11 17:59:37.440000+00:00,2024-06-11 17:59:37.445000+00:00,1199,292
75,"Wealth taxes can bring in a lot of money for governments. They can use this money to pay for things like schools, hospitals, helping people who need it, building roads, and other things that make life better for everyone.",3,2024-06-11 15:28:57.766000+00:00,2024-06-11 15:28:57.771000+00:00,1246,193
76,This is especially about the moral aspect. Is it moral to tax the rich more? Are they to blame for the poverty of others?,3,2024-06-11 15:58:44.574000+00:00,2024-06-11 15:58:44.581000+00:00,1246,301
85,"I agree with you, scientist has already confirmed this that the GMO is safe.",4,2024-06-11 20:03:23.785000+00:00,2024-06-11 20:03:23.792000+00:00,1372,91
77,"I agree with you. Closing business in the name of Covid is a bad approach. It will lead nation to financial crisis, which will cost much more damages to us.",0,2024-06-11 16:04:43.018000+00:00,2024-06-11 16:04:43.026000+00:00,989,193
82,"I disagree, anything can be funny, even serious topics.",4,2024-06-11 19:08:09.732000+00:00,2024-06-11 19:08:09.741000+00:00,773,3
83,How would a wealth tax work? Most of the rich's wealth is in assets and isn't liquid.,3,2024-06-11 19:12:05.436000+00:00,2024-06-11 19:12:05.445000+00:00,1379,3
89,"There is no cause for concern, research has proven this!",4,2024-06-11 20:24:34.160000+00:00,2024-06-11 20:24:34.173000+00:00,1385,301
86,"true indeed, the GMO crops are enriched with nutrients compared to naturally grown crops.",4,2024-06-11 20:06:43.287000+00:00,2024-06-11 20:06:43.302000+00:00,1408,91
87,"this chart seem incomplete to me, will you please elaborate.",0,2024-06-11 20:09:50.908000+00:00,2024-06-11 20:09:50.921000+00:00,1399,91
93,The minor potential risks about intaking GMO foods are already been subdued by the scientists.,4,2024-06-11 21:21:41.504000+00:00,2024-06-11 21:21:41.512000+00:00,1440,5
88,But still some people spreading negativity about the GMO.,4,2024-06-11 20:13:16.696000+00:00,2024-06-11 20:13:16.707000+00:00,1461,91
92,My opinion is same as yours. GMOs are the best replacement for those traditionally grown foods and they are healthy too but still some people spreading rumors and negetivity.,4,2024-06-11 20:44:58.578000+00:00,2024-06-11 20:44:58.584000+00:00,1372,5
90,Probably in Senegal people are more resistant to the virus!,0,2024-06-11 20:26:54.588000+00:00,2024-06-11 20:26:54.607000+00:00,824,301
91,"Covid in not a thread as it was earlier, rather I would say our economy is in grave danger. Our government need to look into this matter.",0,2024-06-11 20:36:35.370000+00:00,2024-06-11 20:36:35.377000+00:00,1151,5
94,"You're absolutely right! Regulatory agencies around the world prioritize the safety of our food supply, and GMOs undergo thorough testing before reaching consumers. There's no evidence of direct health risks from currently available GMOs.",4,2024-06-11 23:57:01.228000+00:00,2024-06-11 23:57:01.234000+00:00,1461,236
95,Absolutely agree! Mental health is just as important as physical health. It's brave to acknowledge when we need help and to seek it out. Let's continue to support each other and promote a culture where everyone feels safe to talk about their struggles.,2,2024-06-12 00:38:43.697000+00:00,2024-06-12 00:38:43.703000+00:00,1402,236
96,"no risk
",2,2024-06-12 03:06:02.098000+00:00,2024-06-12 03:06:02.102000+00:00,1481,165
135,I'm sorry if my post was unclear; my intention is to provide balanced information so people can make informed choices about GMO foods based on their own beliefs and preferences.,4,2024-06-13 03:11:25.579000+00:00,2024-06-13 03:11:25.584000+00:00,1398,264
136,Thank you all for your supportive comments! It's heartening to see such a positive and encouraging discussion around mental health; let's keep spreading awareness and kindness,2,2024-06-13 03:15:29.084000+00:00,2024-06-13 03:15:29.089000+00:00,1402,264
97,"A wealth tax is a type of tax that is levied on an individual's net worth, which is the total value of their assets minus their liabilities. While it's true that a significant portion of the wealthy's wealth may be tied up in illiquid assets, such as real estate, stocks, or businesses, there are several ways that a wealth tax could be designed to address this issue.",3,2024-06-12 03:15:45.664000+00:00,2024-06-12 03:15:45.669000+00:00,1379,165
121,"Dear colleague, do you think that if we take from some and give to others, we will solve something? The world has been divided into rich and poor since immemorial time, and this seems to be implemented in the human genome. Have you seen the TV series ""rich man, poor man""?",3,2024-06-12 18:57:05.027000+00:00,2024-06-12 18:57:05.040000+00:00,1439,301
98,"Sure. Here is the explanation. The image shows the Earth surrounded by recycling arrows with a flame behind it, symbolizing the idea that addressing climate change involves both managing our planet's resources and tackling global warming.",0,2024-06-12 04:43:38.620000+00:00,2024-06-12 04:43:38.624000+00:00,1399,264
114,"I don't really have a strong opinion one way or the other, but I think this is a reasonable fear that can't just be handwaved away.",3,2024-06-12 15:54:41.945000+00:00,2024-06-12 15:54:41.953000+00:00,1450,3
99,"I totally agree! Practices like yoga and meditation can be really helpful for mental health. Do you have any favorite techniques, or would you like some suggestions?",2,2024-06-12 04:46:38.987000+00:00,2024-06-12 04:46:38.992000+00:00,1402,264
100,its very usefull,2,2024-06-12 13:30:23.563000+00:00,2024-06-12 13:30:23.568000+00:00,1503,328
101,ITS SO SAFE FOR FOOD,4,2024-06-12 13:32:53.257000+00:00,2024-06-12 13:32:53.262000+00:00,1296,291
115,"Yes, Mental health is just as important as physical and more people need to understand that.",2,2024-06-12 16:06:00.823000+00:00,2024-06-12 16:06:00.829000+00:00,1402,3
102,its safe for food,4,2024-06-12 13:37:05.367000+00:00,2024-06-12 13:37:05.372000+00:00,1405,101
103,the virus is very bad.,0,2024-06-12 13:41:57.373000+00:00,2024-06-12 13:41:57.377000+00:00,1515,324
129,"First of all you need some knowledge about what GMO is, then you will stop posting this kind of unethical things.",4,2024-06-12 21:57:45.072000+00:00,2024-06-12 21:57:45.078000+00:00,1398,5
104,covid-19 is better rest to treatment.,0,2024-06-12 13:45:06.112000+00:00,2024-06-12 13:45:06.118000+00:00,1517,299
116,"where the government offers a public health insurance plan, could provide a lower-cost alternative to private insurance while maintaining some of the benefits of private insurance.",2,2024-06-12 17:09:29.982000+00:00,2024-06-12 17:09:29.986000+00:00,1456,165
105,its useful for all unhealthy people,0,2024-06-12 13:48:29.493000+00:00,2024-06-12 13:48:29.498000+00:00,1165,106
106,"no, its not fair it just collect the tax from high class people to serve the low class people.",3,2024-06-12 13:49:16.437000+00:00,2024-06-12 13:49:16.442000+00:00,1483,229
122,"Please don't guide people in wrong way, we have already suffered enough due to Covid-19. Taking medicine without prescription from doctor can cause serious issue.",0,2024-06-12 19:16:04.648000+00:00,2024-06-12 19:16:04.656000+00:00,1517,91
107,medicare of all introduced the united states,2,2024-06-12 13:50:13.980000+00:00,2024-06-12 13:50:13.986000+00:00,1521,246
